ID,URL,Location,Company,Employment Type,Years of Exp,Education Level,Data
235088,https://www.ergodotisi.com/en/JobDetails/235088/Rimes-Technologies-Ltd,Nicosia,Rimes Technologies Ltd,Full Time,3,,"  Software Engineer (Hybrid Work)     Nicosia CY    FinTech Computer Science, Work from home   Rimes Technologies Ltd   We are seeking to hie a Software Engineer (Hybrid Work).   1/10/2024 12:00:00 AM 2/10/2024 12:00:00 AM     Software Engineer (Hybrid Work)  new REF. NUM: 235088     Nicosia  posted 27 days ago     Rimes Technologies Ltd  expires in 4 days    329            CATEGORY: Computer Science, Work from home  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: FinTech        Rimes provides transformative data management, ESG and investment intelligence solutions to the global investment community. Driven by our passion for solving the most complex data problems, we partner with our clients to help them make better investment decisions using accurate information and industry-leading technology.  Headquartered in New York and London, Rimes serves its global clients through offices in Europe, Americas and Asia Pacific.We are currently in the midst of an exciting growth phase, as Rimes extends into new markets and geographies. To support this, we are hiring for roles across Sales, Product, Development, Marketing and other functions. Visit our Careers page to see our complete listings and more information on our competitive benefits package.A Software Engineer - Python with proven experience from a software vendor or SaaS vendor with data heavy products. Able to work towards a common goal as part of a cross functional distributed team and work once given direction. Should have positive attitude towards solving challenges and finding new ways. The person will be motivated by continuous improvement in terms of driving and delivering quality with efficiency. Key Responsibilities:Design, implement and integrate new functionalities to data centric applications built as microservices and data pipelines.Build scalable and robust application in a distributed multi-tenant Hybrid cloud architecture.Participate to the full life cycle of the user stories taking requirements from product management and working with QA engineer and end user to qualify your work.Bring ideas and solutions to complex technical problems during team workshop.Review your team mates code in peer review withing Git.Be part of a cross functional team and therefore pair with devops or QA resource to solve CI/CD or test automations requiring complex developments - or simply help them.Contribute to cross team innovation being part of one of our community of practices.Learn new skills and share your knowledge to other during transversal knowledge transfer sessions.Key Principles & Ways of working:An agile DevOps approach to daily workload.Used to sharing and management of knowledge.Continuous improvement operating model in an agile environment.Challenge and innovate existing processes, tools, culture, and technology.Capable to follow high level directions to implement continuous improvement.Ensure work is delivered consistently to design and build principles and standards.A continual learning culture and initiative to stay present with latest technological trends.Problem-solving and analytical skills and the ability to come up with creative solutions.Relevant Experience and skills:3+ years of experience.Bachelor's degree in computer science, computer engineering or relevant field.Relevant experience in programming data centric applications and pipelines.Able to articulate practical examples of complex problem solved.Strong experience in Python coding and experience with othersJavaScript React development is a plusKnowledge of pandas library and/or Apache Spark.SQL Server coding experience.Exposure to microservices architecture, deployment challenges etc.Experience with working with Python packaged containers.Knowledge, understanding of and(or) experience of:OWAPS 10 prevention.Version control systems e.g. Git/GitHub.Unit testing as an habit.Deployment automation (on-premises & cloud).Awareness or use of principles like: Code reuse, DRY, KISS, YAGNI.JIRA, Confluence, Kanban boards etc.Automated testing and integration as part of CI/CD pipelines.Code linting and static code analysis.Containerisation (Docker & Docker Compose) & Orchestration (Kubernetes) conceptsExperience in developing Cloud application (using relevant Cloud Services ideally Azure).A genuine passion for new ideas and technology excellence as well as passion for automation of Infrastructure. Repeatable patterns, pipelines, and security integrations.Team Technical stackAtlassian JiraAtlassian ConfluenceHybrid cloud architecture: Azure Cloud & On PremiseCI/CD: Jenkins & Azure DevOpsMicroserviceMessage Bus / RabbitMQAzure Kubernetes / DockerMS SQLGit hubAzure Search / ELK / RedisPython / C# / Perl / C / JavaScript ReactAPPLY DIRECTLY HERERimes is committed to promote the values of diversity and inclusion throughout the business. Whether it’s through recruitment, retention, career progression or training and development, we are committed to improving opportunities for people regardless of their background or circumstances.  "
234490,https://www.ergodotisi.com/en/JobDetails/234490/RISKMATRIX-LTD,Larnaca,RISKMATRIX LTD,Full Time,not given,"BSc, MSc","  Software Engineer    Larnaca CY    Computer Science Computer Science, Work from home   RISKMATRIX LTD   RiskMatrix are interested in hiring a Software Engineer.   1/8/2024 12:00:00 AM 2/8/2024 12:00:00 AM     Software Engineer new REF. NUM: 234490     Larnaca  posted 29 days ago     RISKMATRIX LTD  expires in 2 days    316            CATEGORY: Computer Science, Work from home  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Computer Science        Job descriptionRiskMatrix are interested in hiring Software Engineers with a minimum experience of two to three years. One of their primary tasks will be to undertake existing projects that were developed for system integration of our core software with third-party solutions of client-banks, as well as the enhancement of the product with additional functionality. This position involves both client-facing interaction and consultation and back-end coding and appeals to team-players. The candidates will have a passion for technology and extensive experience in software configuration and client support. Attention to detail and an analytical mind are considered essential prerequisites. ResponsibilitiesDevelop custom software modules within the solutions promoted and implemented by the company. Deploy and configure software modules to clients either on-site or remotely. Collaborate with a team of IT professionals to agree on the specifications for new deployments. Attend discovery workshops and fact-finding meetings to consult and record system requirements Prepare business proposals, projects plan, and effort estimates for the proposed solutions Prepare the technical documents as well as the user manuals for the proposed solutions Integrate individual software solutions to external systems. Conduct functional and non-functional testing. Troubleshoot and debug applications. Support the deployed software solutions, together with the prerequisites and provide solutions to all issues that arise. Supervise assigned resources and manage project timelines and team tasks, ensuring timely completion of projects to company specifications (for experienced candidates). Provide knowledge transfer workshops and training (internally and to clients) as needed. RequirementsA BSc degree in Computer Science or relevant field. An MSc degree will be considered an advantage. Analytical thinking and problem-solving capability. Ability to handle multiple competing priorities in a fast-paced, deadline-driven environment. Knowledge on relational database systems and document or hybrid databases. Sound knowledge of HTML5/CSS3. Experience in object-oriented programming languages such as C#, .NET. Experience developing REST and SOAP APIs. Experience with ASP.Net MVC / ASP.Net Core MVC. Experience with ORM Frameworks such as Entity Framework, Dapper etc. Experience in modern front-end frameworks such as Angular, React etc., or Blazor. Experience in Report design with reporting tools such as Crystal Reports, DevExpress, Telerik, Jasper etc. Knowledge of operating systems and platforms such as RedHat Linux and Microsoft Windows Server will be considered an advantage. Excellent communication and management skills. Basic knowledge of accounting/financial analysis will be considered as an advantage. The CompanyRiskMatrix are a Cyprus-based entity, appointed by Moody’s Analytics as its regional partner for Cyprus, Greece, Turkey, the Middle East, the CIS region and Northern and Eastern Africa, currently supporting over one hundred banks, having successfully undertaken over one hundred credit modelling exercises on behalf of our clients and Moody’s Analytics. RiskMatrix are a certified elite partner of Moody’s Analytics, having achieved the highest possible accolade within the Moody’s Analytics accreditation scheme. The company’s key activities include the promotion, system implementation and technical/business support for the Moody’s Analytics credit risk assessment and origination software solutions as well as the provision of credit analytics and IT consulting services.The position is based in Larnaca, Cyprus.Please forward your cv together with an application letter to: humanresources@riskmatrixirms.comContact Tel: +357-24669488  "
238460,https://www.ergodotisi.com/en/JobDetails/238460/HF-Markets,Larnaca,HF Markets,Full Time,not given,"BSc, BA","  DevOps Engineer (Database Focus)    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed DevOps Engineer with Database Focus to join our dynamic team!   2/6/2024 12:00:00 AM 3/6/2024 12:00:00 AM     DevOps Engineer (Database Focus) new REF. NUM: 238460     Larnaca  posted today     HF Markets  expires in 29 days    55            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed DevOps Engineer with Database Focus to join our dynamic team at HF Markets.As a DevOps Engineer emphasizing databases, you'll be an integral part of our IT department, reporting directly to the head of DevOps. This role is tailored for those passionate about planning, managing, and scaling datastores, ensuring our business's intricate data requirements are seamlessly met.A Note to Applicants:While specific qualifications are a valuable asset, we place immense value on passion and a genuine willingness to learn. If you're brimming with enthusiasm about databases, eager to carve a niche for yourself, and confident in your potential, we wholeheartedly encourage you to apply.Your role at HF Markets:Spearhead the implementation of real-time monitoring solutions, ensuring proactive identification and resolution of potential system challenges.Provide and manage database infrastructure using cutting-edge Infrastructure as Code tools.Seamlessly integrate database modifications into the CI/CD pipeline, ensuring meticulous testing and deployment of database schema alterations.Lead regular performance evaluations, ensuring our databases operate optimally under diverse loads.Forge strong collaborations with application developers, security teams, and other stakeholders, ensuring our database operations are in perfect harmony with organizational objectives.Stay ahead of the curve by engaging in continuous learning opportunities, workshops, and training sessions pertinent to database and DevOps roles.Master cloud-based database solutions, playing a pivotal role in their implementation and management.Database Administration:Champion rigorous security measures, conducting regular audits to ensure our databases are impervious to threats. Uphold the highest standards of data integrity through continuous monitoring and validation.Design and test robust backup and recovery processes, guaranteeing swift data restoration in the face of failures.Oversee the meticulous management and scaling of datastores, ensuring unparalleled performance and reliability.Play a key role in crafting disaster recovery blueprints and contributing to high availability database configurations, such as replication and clustering.What You Bring:BSc/BA in Computer Science or any relevant field.Graduate applications are welcome.Prior experience in a similar role would be considered an advantage.A foundational to intermediate grasp of database administration, monitoring, and maintenance.Prior experience with database automation tools, with tools like Saltstack would be considered an advantage.A proactive mindset, always on the lookout for potential database challenges and solutions.Familiarity with Docker and container-based build infrastructures would be considered an advantage.A good understanding of version control systems, particularly Git.Experience monitoring tools like Prometheus, Thanos, and Grafana would be considered an advantage.Stellar communication skills, especially when discussing intricate technical concepts.A commitment to documenting and mastering best practices for data storage systems.Exposure in agile software development methodologies would be considered an advantage.By joining us, you can expect:Attractive remuneration package.22 days of Annual Leave (reaching up to 30 days per year based on years’ service).Hybrid Work Mode.Friday afternoons off in Summer (July & August).Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount Scheme.Free Gym Membership (Larnaca).Unlimited snacks, fruits and beverages.Complimentary periodic lunches at the office.Fun team-building activities & Corporate events.Lifelong Learning Allowance plus paid Educational Leave.Who is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities |At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
235561,https://www.ergodotisi.com/en/JobDetails/235561/HF-Markets,Larnaca,HF Markets,Full Time,not given,"BSc, BA","  QA Automation Engineer    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed QA Automation Engineer to join our dynamic team!   1/12/2024 12:00:00 AM 2/12/2024 12:00:00 AM     QA Automation Engineer new REF. NUM: 235561     Larnaca  posted 25 days ago     HF Markets  expires in 6 days    183            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed QA Automation Engineer to join our dynamic team at HF Markets.Your role at HF Markets:Contribute to the design and development of automated test scripts using tools like Selenium, Appium, etc., to validate web and mobile applications functionality.Contribute to the management and maintenance of test data essential for automated testing, ensuring data consistency, accuracy, and security.Support the configuration of test environments by assisting in the preparation and establishment of necessary procedures and infrastructure for automated tests.Participate in the integration of automated tests into continuous integration and continuous deployment pipelines, providing quick feedback on code changes.Support the ongoing maintenance of automated test scripts, adapting to changes in the application to ensure the effectiveness and accuracy of the test automation framework.Assist in the development of automated performance tests to evaluate application responsiveness, scalability, and stability under various load conditions.Assist manual testers by automating repetitive and time-consuming test scenarios, enabling them to focus on more complex testing aspects.Work closely with the development team to understand and address issues identified during automated testing, actively participating in the resolution process.What You Bring:BSc/BA in Computer Science, Computer Engineering, or a relevant field.Graduate applications are welcome.Prior experience in a similar role would be considered an advantage.Familiarity with basic QA concepts and a willingness to expand knowledge in quality assurance.Basic knowledge of programming languages, such as Python, Java, or others.Basic knowledge of relational databases and SQL.Keen interest in learning and working with automation testing tools like Selenium, Appium, etc.Familiarity with Linux OS, such as Red Hat or Ubuntu.Experience with CI/CD systems (e.g., Jenkins) and version control systems (e.g., Git) would be considered an advantage.Familiarity with containerization technologies such as Docker would be considered an advantage.Demonstrated problem-solving aptitude and a proactive approach to challenges.Strong attention to detail to contribute to accurate and effective testing.Strong interest in software testing and automation.Ability to work collaboratively as part of a team.By joining us, you can expect:Attractive remuneration package22 days of Annual Leave (reaching up to 30 days per year based on years’ service)Hybrid Work ModeFriday afternoons off in Summer (July & August)Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount SchemeFree Gym Membership (Larnaca)Unlimited snacks, fruits and beveragesComplimentary periodic lunches at the officeFun team-building activities & Corporate eventsLifelong Learning Allowance plus paid Educational LeaveWho is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities | At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
238325,https://www.ergodotisi.com/en/JobDetails/238325/XM,"Paphos, Famagusta, Larnaca, Nicosia, Limassol",XM,Full Time,2,,"  Site Reliability Engineer (Cyprus/Greece)    Limassol, Nicosia, Larnaca, Paphos, Famagusta CY    Forex Computer Science   XM   You will join a team working with cutting-edge technologies and striving to utilize cloud services to the maximum.   2/5/2024 12:00:00 AM 3/5/2024 12:00:00 AM     Site Reliability Engineer (Cyprus/Greece) new REF. NUM: 238325     Limassol, Nicosia, Larnaca, Paphos, Famagusta  posted yesterday     XM  expires in 28 days    82            CATEGORY: Computer Science  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        Site Reliability Engineer – Cyprus or Greece The Role:  You will join a team working with cutting-edge technologies and striving to utilize cloud services to the maximum. Your role will be to monitor critical applications and services to ensure their availability and minimize downtime. You will also ensure that the underlying infrastructure runs smoothly and systems/tools work as expected, help developers with troubleshooting and provide consultation in case of alerts. The main responsibilities of the position include: Monitor critical application metrics and create alertsBuild or use software to help DevOps, Devs and Support teamsFix support escalation issuesMaintain documentation and runbooksConduct post-incident reviews Main requirements: 2+ years of experience in a similar roleExperience in incident, problem and change management practicesExtensive working experience with CI/CD procedures and tools (e.g. Gitlab CI)Strong experience using containers and KubernetesExperience with Infrastructure as Code (Terraform, CloudFormation)Ability to work as part of a distributed teamExperience with monitoring tools (Prometheus, Grafana, New Relic) The following will be considered an advantage:  Familiarity with database conceptsWorking experience with at least one cloud provider (preferably AWS)Experience with Apache Kafka configuration and troubleshootingExperience with ELK configuration and troubleshootingScripting skills (Bash, PowerShell, Python, Go, etc.) Benefit from: Attractive remuneration package Private health insurance Corporate pension fund Food allowance Intellectually stimulating work environmentContinuous personal development and international training opportunities Type of employment: Full time Location: Cyprus or Greece Please visit our website www.xm.com/careers to submit your online application for this position. All applications will be treated with strict confidentiality!  "
238342,https://www.ergodotisi.com/en/JobDetails/238342/CareerFinders-Recruitment-Services-Ltd,Larnaca,CareerFinders Recruitment Services Ltd ,Full Time,2,,"  Quality Assurance & Support Engineer (7281)    Larnaca CY    Computer Science Computer Science   CareerFinders Recruitment Services Ltd    CareerFinders, on behalf of our client, an expanding Group of Companies, we are seeking a Quality Assurance & Support Engineer.   2/5/2024 12:00:00 AM 3/5/2024 12:00:00 AM     Quality Assurance & Support Engineer (7281) new REF. NUM: 238342     Larnaca  posted yesterday     CareerFinders Recruitment Services Ltd   expires in 28 days    84            CATEGORY: Computer Science  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Computer Science        CareerFinders, on behalf of our client, an expanding Group of Companies with diverse business interests including the provision of Project Management, Software Development & Consultancy Services to a wide range of clients, we are seeking to recruit a Quality Assurance & Support Engineer to join their growing team based in Larnaca. The successful applicant will work closely with software developers, carrying out functional testing, customer scenario testing, sanity testing and overall QA improvement process. In addition to testing, you will be responsible for diagnosing and troubleshooting technical issues related to products and services, providing timely support through various channels including email, and live chat. Our client is seeking applicants who are ideally educated to degree level in Computer Science or other closely related fields, who hold some previous experience with software quality assurance and technical support. A highly attractive remuneration and benefits package is on offer to the successful candidate. Key Duties/Responsibilities: Identify, isolate, and track bugs pre & post-release through testing.Identify any potential problems that users might encounter.Review user interfaces for consistency and functionality.Execute test cases and analyze results.Automate processes and tasks using scripting languages.Create logs to document testing phases and defects and track bugs.Stay up-to-date with new testing tools and test strategies.Troubleshooting and resolving technical issues.Providing a professional level of technical support to customers. Key Skills/Experience: University/college degree in Computer Science, Computer Engineering or relevant subject.Minimum 2+ years of experience in Quality Assurance/and or Technical Support position.Basic knowledge of Windows and Linux Servers.Good knowledge of Bash/Shell scripting languages.Good understanding of basic networking protocols and technologies (TCP/IP, DNS, DHCP, etc.).Good understanding of Docker and VMware/Virtualization technologies.Knowledge of software QA methodologies, tools and processes.Good knowledge of Python/Powershell scripting/automation.Well-developed analytical and problem-solving skills.Any prior experience in software development will be considered an advantage.Good written and oral communication skills and report writing skills.Fluent in English.Willingness to travel.Holder of EU Passport. Key Benefits: Attractive remuneration based on skills and experience.Medical Insurance.Opportunities for professional growth and development.Healthy, vibrant and inclusive working environment.To apply for this vacancy, please send your CV, along with any covering letter to jobs@careerfinders.com.cy quoting the reference number ERG7281. Please note that due to the high volumes of applications received only shortlisted applicants will be responded to. To view our privacy policy, please click www.careerfinders.com.cy/privacy-policy.   "
235846,https://www.ergodotisi.com/en/JobDetails/235846/MysteryTag,Famagusta,MysteryTag,Full Time,not given,,"  Junior Manual QA Engineer     Famagusta CY    Telecommunication / Internet Computer Science   MysteryTag   The developer and publisher of mobile games, Mystery Tag, is looking for a Junior Manual QA Engineer to join their team at the office in Ayia Napa.   1/16/2024 12:00:00 AM 2/16/2024 12:00:00 AM     Junior Manual QA Engineer  new REF. NUM: 235846     Famagusta  posted 21 days ago     MysteryTag  expires in 10 days    146            CATEGORY: Computer Science  PUBLISHED BY: Public Company (PLC)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Telecommunication / Internet      APPLY ONLINE   Job Responsibilities:Ensuring product compliance with quality standards;Conducting testing activities;Analysis and testing of requirements;Development and maintenance of up-to-date test design;Creating testing artifacts, reporting results to management.Our Requirements:Proficiency in Ukrainian language;Proficiency in Test Management Tools, Project Management Tools, Wiki (JIRA, Redmine, Trello, Confluence, Google Docs, etc.);Experience with debugging tools (Android Studio, iTunes, iTools, Dev Console, Charles, Fiddler, etc.);Skills in developing and maintaining relevant testing documentation;Knowledge and understanding of the basic principles of client-server architecture of applications;Knowledge and understanding of the software development process and life cycle;Ability to work in a multitasking environment;Proactivity, quick learning, and a desire to develop.Would be a plus:Experience in analyzing, reviewing, and testing product requirements (business requirements, technical requirements, GDD);Experience working with version control systems (Git);Experience working with databases (SQL, MySQL).We will be glad to offer:Official employment, vacation, and sick leave with no loss of wages;Comfortable office in Ayia Napa;The opportunity for career growth;Comfortable and flexible working hours.  "
234317,https://www.ergodotisi.com/en/JobDetails/234317/XM,"Paphos, Famagusta, Larnaca, Nicosia, Limassol",XM,Full Time,2,,"  Site Reliability Engineer (Cyprus/Greece)    Limassol, Nicosia, Larnaca, Paphos, Famagusta CY    Forex Computer Science, Forex   XM   You will join a team working with cutting-edge technologies and striving to utilize cloud services to the maximum.   1/6/2024 12:00:00 AM 2/6/2024 12:00:00 AM     Site Reliability Engineer (Cyprus/Greece) new REF. NUM: 234317     Limassol, Nicosia, Larnaca, Paphos, Famagusta  posted 31 days ago     XM  expires today    197            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        Site Reliability Engineer (Cyprus/Greece) The Role:  You will join a team working with cutting-edge technologies and striving to utilize cloud services to the maximum. Your role will be to monitor critical applications and services to ensure their availability and minimize downtime. You will also ensure that the underlying infrastructure runs smoothly and systems/tools work as expected, help developers with troubleshooting and provide consultation in case of alerts. The main responsibilities of the position include: Monitor critical application metrics and create alertsBuild or use software to help DevOps, Devs and Support teamsFix support escalation issuesMaintain documentation and runbooksConduct post-incident reviews Main requirements: 2+ years of experience in a similar roleExperience in incident, problem and change management practicesExtensive working experience with CI/CD procedures and tools (e.g. Gitlab CI)Strong experience using containers and KubernetesExperience with Infrastructure as Code (Terraform, CloudFormation)Ability to work as part of a distributed teamExperience with monitoring tools (Prometheus, Grafana, New Relic) The following will be considered an advantage:  Familiarity with database conceptsWorking experience with at least one cloud provider (preferably AWS)Experience with Apache Kafka configuration and troubleshootingExperience with ELK configuration and troubleshootingScripting skills (Bash, PowerShell, Python, Go, etc.) Benefit from: Attractive remuneration package Private health insurance Corporate pension fundIntellectually stimulating work environmentContinuous personal development and international training opportunities Type of employment: Full time Location: Cyprus or Greece Please visit our website www.xm.com/careers to submit your online application for this position. All applications will be treated with strict confidentiality!  "
235565,https://www.ergodotisi.com/en/JobDetails/235565/HF-Markets,Larnaca,HF Markets,Full Time,3,"BSc, BA","  Senior QA Automation Engineer    Larnaca CY    Forex Computer Science, Forex   HF Markets   HF Markets is searching for an enthusiastic and committed Senior QA Automation Engineer to join our dynamic team!   1/15/2024 12:00:00 AM 2/15/2024 12:00:00 AM     Senior QA Automation Engineer new REF. NUM: 235565     Larnaca  posted 22 days ago     HF Markets  expires in 9 days    127            CATEGORY: Computer Science, Forex  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Forex        We are searching for an enthusiastic and committed Senior QA Automation Engineer to join our dynamic team at HF Markets.Your role at HF Markets:Design and develop robust automated test scripts using cutting-edge tools and frameworks (e.g., Selenium, Appium), to verify the functionality of both web and mobile applications.Manage and maintain test data essential for automated testing, ensuring data consistency, accuracy, and security.Configure test environments by preparing and establishing the necessary procedures and infrastructure to facilitate the development and execution of automated tests.Integrate automated tests into continuous integration and continuous deployment pipelines. Regularly run automated tests as part of CI/CD to provide quick feedback on code changes and facilitate efficient development workflows.Continuously update and maintain automated test scripts to adapt to changes in the application, ensuring the ongoing effectiveness and accuracy of the test automation framework.Develop automated performance tests to evaluate the application’s responsiveness, scalability, and stability under various load conditions.Provide support to manual testers by automating repetitive and time-consuming test scenarios, enabling the manual QA team to focus on edge cases, complex scenarios, and usability testing. Collaborate on test case design and execution strategies to create a balanced and effective testing approach that leverages both automated and manual testing.Collaborate closely with the development team to communicate issues identified during automated testing and assist in their resolution. Ensure that testability, automation coverage, and testing best practices are seamlessly integrated into the development process.Mentor and train junior QA automation engineers to help them build their skills and knowledge.Stay up to date with the latest tools, technologies, and industry trends related to software testing and automation.What You Bring:BSc/BA in Computer Science, Computer Engineering, or a relevant field.3+ years’ experience as a QA Automation Engineer.A thorough understanding of relevant QA technologies and methodologies.Extensive expertise in test automation tools such as Selenium, Appium, and related frameworks.Proficient in scripting languages like Bash, Python, Groovy, and Ruby.In-depth knowledge of relational databases and SQL.Experience with CI/CD systems (e.g., Jenkins) and version control systems (e.g., Git).Good knowledge of test automation tools such as Junit, pytest.Proven experience with Postman and/or SoapUI for API and backend services testing.Practical experience with JavaScript and HTML/CSS to support automated tests development.Hands-on experience in Linux environments (e.g., Red Hat, Ubuntu).Familiarity with containerization technologies such as Docker.Familiarity with Kubernetes would be considered an advantage.Familiarity with JIRA or similar defect tracking tools.Experience with Python web frameworks (e.g., Flask, Tornado, FastAPI) would be considered an advantage,Strong analytical and problem-solving skills.Excellent communication and collaboration abilities.Proactive approach to process improvement.Comfortable in a fast paced, deadline driven environment.By joining us, you can expect:Attractive remuneration package22 days of Annual Leave (reaching up to 30 days per year based on years’ service)Hybrid Work ModeFriday afternoons off in Summer (July & August)Birthdays are always a day off!Referral Bonus – refer a candidate we would all enjoy to work with!!Participation in the Company’s Medical Scheme from day one!Participation in the Company’s Group Discount SchemeFree Gym Membership (Larnaca)Unlimited snacks, fruits and beveragesComplimentary periodic lunches at the officeFun team-building activities & Corporate eventsLifelong Learning Allowance plus paid Educational LeaveWho is HF Markets?Established Broker since 2010 | 60+ Industry Awards | over 3,500,000 Live Accounts | 300+ Employees Globally | 40+ Different Nationalities |At HF Markets, our workforce is our biggest asset. For this reason, we reward our employees’ individual talent and skills, and encourage them to reach their full potential in an engaging workplace that fosters excellence.Kick off an exceptional career with HF Markets and follow the path to success!Sounds like you? Come and write the next chapter with us through our Careers website: www.hfeu.com/careersAll applications will be treated as confidential.HF Markets is an Equal Opportunity Employer.  "
236326,https://www.ergodotisi.com/en/JobDetails/236326/3CX-Ltd,Nicosia,3CX Ltd,Full Time,2,,"  Software API Test Engineer    Nicosia CY    Technology Industry Computer Science   3CX Ltd   Due to strong continued growth, an opportunity has arisen for a Software API Test Engineer to join the 3CX team.   1/18/2024 12:00:00 AM 2/18/2024 12:00:00 AM     Software API Test Engineer new REF. NUM: 236326     Nicosia  posted 19 days ago     3CX Ltd  expires in 12 days    122            CATEGORY: Computer Science  PUBLISHED BY: Private Company (LTD)   EMPLOYMENT TYPE: Fulltime INDUSTRY: Technology Industry        Due to strong continued growth, an opportunity has arisen for a Software API Test Engineer to join the 3CX team. You’ll spend the day diagnosing and troubleshooting software technical issues on ERP & Hosting systems. Our ideal candidate will be an experienced API tester willing and open to in-house training on the specific product.The RoleTesting core business logic to reduce number of defects found during testing including:Integration testingFunctional testingPerformance testingSecurity testingWorking hours 09:00 to 17:30About the ApplicantSmart mind, willing to learn and be trained Willing to spend the day diagnosing and troubleshooting software technical issuesExperience and / knowledge of VoIP and telecommunications technologies an assetMust HavesAt least 2 years of experience in a Software Testing Engineering roleExperience with bug management, tracking and reporting programsFamiliar with software development cycles and version controlExperience with test case creation and test plan organizationExperience with Linux administration and scriptingExperience with a public cloud provider, such as Azure, AWS, Google, etcFocus on delivering quality and working softwarePersonal SkillsComfortable in a fast paced, deadline driven environmentStrong resource management skillsExceptional, clear and effective communication skills (verbal & written)Self-driven ability to work independentlyStrong team spiritStrong organizational skills with great attention to detailStrong problem-solving skills and an ability to think out-of-the-boxSolid time management skillsFluent in EnglishAbout the 3CX TeamOur award winning product is targeted at medium and large enterprises and is currently used by 350,000 customers around the world. Working in our state of the art 3CX offices in Nicosia, you'll be part of a vibrant team enjoying the many benefits the Company offers, including an international work environment, catering, private gym and swimming pool, performance related bonus, and an annual profit share scheme.Your ApplicationApply via our websitePlease prepare a covering letter that demonstrates how your experience relates to this specific role. This should be included along with your CV.Due to the very large number of applications we receive, we will not consider anyone who does not fulfill this basic request. Only successful candidates will be contacted.  "
